,R,V,ln(R),T,1/T
0,320,-70,5.768320995793772,297.0,0.003367003367003367
1,260,0,5.560681631015528,298.82,0.0033464962184592733
2,200,100,5.298317366548036,301.42,0.003317629885210006
3,160,200,5.075173815233827,304.02,0.003289257285704888
4,130,300,4.867534450455582,306.62,0.003261365860022177
5,110,400,4.700480365792417,309.22,0.0032339434706681325
6,90,500,4.499809670330265,311.82,0.0032069783849656853
7,80,600,4.382026634673881,314.42,0.003180459258316901
8,65,700,4.174387269895637,317.02,0.003154375118289067
9,55,800,4.007333185232471,319.62,0.0031287153494775045
10,40,1000,3.6888794541139363,324.82,0.003078628163290438
11,20,1200,2.995732273553991,330.02,0.0030301193867038364
12,20,1400,2.995732273553991,335.22,0.0029831155658970225
13,20,1600,2.995732273553991,340.42,0.002937547735150696
